Storm Name,Storm Level,Casualties,Location
Aleksandra,2,41,Bucharest
Esmeralda,2,191,Scottsdale
Miley,1,274,Springfield
Manuel,4,19,Honolulu
Lily,1,41,Milwaukee
Danny,3,7,Albuquerque
Margot,2,179,Seattle
Brad,2,57,Bridgeport
Josh,4,200,Zurich
Mary,2,129,Bellevue
Lauren,2,162,Jersey City
Helen,1,32,San Diego
Aeris,2,126,Zurich
Goldie,3,164,Berlin
Tyson,4,123,Oakland
Mabel,2,235,Tallahassee
Nina,1,257,Denver
Hailey,4,106,Valetta
Deborah,2,190,Tokyo
Hazel,2,95,El Paso
Rosalee,4,155,Omaha
Adalie,4,250,Nashville
George,2,248,Prague
Wendy,3,83,San Bernardino
Jules,2,41,Minneapolis
Dasha,1,111,Fremont
Russel,1,271,Bellevue
Teagan,3,88,Milano
Mabel,1,11,Zurich
Benjamin,3,268,San Antonio
Rocco,1,138,Kansas City
Fred,3,53,Quebec
Kurt,3,62,San Antonio
Rowan,3,201,Charlotte
Domenic,2,235,St. Louis
Mason,1,237,Nashville
Logan,2,169,New Orleans
Parker,3,211,Jacksonville
Chuck,2,86,Huntsville
Paige,4,68,Prague
Cecilia,4,291,Paris
Kassandra,2,46,Louisville
Camellia,4,258,Ontario
Meredith,4,200,Fort Lauderdale
Josh,4,268,Portland
Doug,1,256,Tulsa
Sienna,1,15,Santa Ana
Cristal,2,114,Detroit
Noah,2,86,Wien
Carl,3,61,Fullerton
Luke,1,27,Louisville
Daron,4,44,New Orleans
Clint,3,182,Quebec
Nick,4,22,Tallahassee
Elisabeth,3,247,Bucharest
Chad,3,251,Kansas City
Lucas,4,269,Washington
Tiffany,4,192,Denver
Rocco,1,254,Stockton
Jacob,4,84,Denver
Noemi,2,280,Prague
Susan,2,29,Hollywood
Enoch,1,283,Lyon
Olivia,3,84,Quebec
Kaylee,1,280,Houston
Aeris,3,212,San Francisco
Oliver,1,207,Tokyo
Carter,4,46,Zurich
Leroy,4,195,Amarillo
Jenna,1,250,Baltimore
Raquel,3,81,San Bernardino
Alexia,3,51,Zurich
David,3,220,Amarillo
Bob,2,271,Portland
Judith,2,278,Detroit
Winnie,2,298,Milwaukee
Daniel,4,273,Berna
Robyn,4,250,Springfield
Melody,3,242,Chicago
Harry,1,213,Minneapolis
Anais,2,1,San Jose
Katelyn,3,128,Hayward
Julius,3,41,Phoenix
Bristol,3,87,Bridgeport
Renee,3,145,Portland
Tony,3,132,Colorado Springs
Benjamin,4,197,Glendale
Benjamin,4,154,San Francisco
Makena,3,4,Murfreesboro
Norah,3,37,Rome
Ema,4,19,Colorado Springs
Sydney,4,52,Seattle
Rick,1,193,London
Mabel,4,90,Minneapolis
Ciara,1,278,Fremont
Payton,3,290,Murfreesboro
Ruth,3,273,Huntsville
Clarissa,3,263,Kansas City
Harvey,3,42,Springfield
Alan,4,191,Innsbruck
Daniel,2,236,Kansas City
Rick,4,130,Dallas
Hadley,4,198,Richmond
Henry,2,215,Colorado Springs
Abbey,1,28,Moreno Valley
Andrea,1,151,Albuquerque
Percy,4,218,Bakersfield
Nicholas,4,213,Madrid
Davina,2,70,Scottsdale
Elle,1,296,Lincoln
Davina,1,257,Santa Ana
Vicky,1,11,Pittsburgh
Caleb,2,63,Prague
Katelyn,1,170,San Bernardino
Carmen,3,99,Baltimore
Bree,4,152,San Francisco
Luna,1,135,Honolulu
Eduardo,1,282,Detroit
Marvin,3,7,Berna
Harry,1,148,Toledo
Michaela,2,40,Quebec
Alma,4,16,Garland
Penelope,3,204,Richmond
Tyson,4,95,Santa Ana
Barry,1,217,Berna
Oliver,3,266,Zurich
Eve,2,126,Innsbruck
Tyler,4,134,El Paso
Roger,1,193,Madison
Chris,1,260,Tokyo
Julius,4,210,Murfreesboro
Danny,4,206,Toledo
Hayden,4,210,Valetta
Norah,1,133,Milano
Nick,2,131,Jersey City
Elijah,3,76,Denver
Ryan,3,252,Long Beach
Rosalie,3,269,Minneapolis
Stacy,2,107,Chicago
Percy,2,72,Honolulu
Daria,3,112,Otawa
Rebecca,2,135,Tokyo
Alexia,3,164,Irving
Maxwell,1,110,Rochester
Alexa,2,31,New Orleans
Macy,1,288,Omaha
Noah,2,107,Bridgeport
Ramon,2,43,Jacksonville
Anne,1,256,Bridgeport
Remy,3,206,Bridgeport
Kieth,4,14,San Francisco
Daniel,2,251,Bridgeport
Livia,2,266,Phoenix
Noah,1,269,Atlanta
Noah,4,177,Kansas City
Aurelia,2,138,Jacksonville
Alice,2,94,Ontario
Maggie,1,298,London
Michelle,2,149,San Jose
Freya,2,54,Philadelphia
Benjamin,4,56,Baltimore
Matt,2,253,Tulsa
Jack,1,20,London
Johnathan,1,243,St. Louis
Carol,1,155,Jersey City
Russel,2,58,Long Beach
Rosa,2,179,New York
Benjamin,1,153,Milano
Danielle,2,135,Rochester
Chris,2,37,Chicago
Janice,2,262,Tokyo
Peter,2,283,Orlando
Kaylee,1,155,Ontario
Lucy,2,49,Los Angeles
Allison,3,94,Fullerton
Darlene,3,97,Louisville
Valentina,2,214,Richmond
Nathan,2,167,Reno
Ciara,2,14,San Francisco
Audrey,4,110,Glendale
Moira,1,118,Paris
Enoch,1,276,Detroit
Shelby,4,157,Columbus
Hank,2,110,Amarillo
Danny,4,134,San Diego
Hank,2,286,Fort Lauderdale
Tyson,2,147,Cincinnati
Ema,4,160,Berna
Sasha,3,213,Hayward
Bryon,4,133,Garland
Rosalie,2,130,Philadelphia
Hadley,4,250,Kansas City
Jayden,1,234,Henderson
Jack,2,241,Baltimore
Analise,4,277,Omaha
Maxwell,1,188,Richmond
Hazel,1,196,Oklahoma City
Eduardo,4,187,Cincinnati
Henry,1,99,Charlotte
Barney,3,174,Zurich
Alexander,4,192,Ontario
Tony,3,261,Bellevue
Rosalie,1,203,Tulsa
Elisabeth,3,82,Berna
Jacqueline,4,22,Kansas City
Margot,3,1,Chicago
Audrey,3,82,Paris
Elise,2,171,Bakersfield
Chadwick,1,138,Huntsville
Eduardo,2,234,Portland
Ruth,2,40,Hayward
Maggie,4,132,Venice
Ryan,3,117,Tulsa
Allison,4,147,Los Angeles
Denis,4,51,New York
Michelle,2,42,Dallas
Ilona,4,54,Dallas
Ember,2,136,Moreno Valley
Harry,4,186,Santa Ana
Morgan,3,273,Lancaster
Alba,4,14,Kansas City
Mary,2,69,Bridgeport
Eden,3,241,Moreno Valley
Bryce,2,225,Oklahoma City
Estrella,2,222,Honolulu
Josh,2,113,Amarillo
Violet,2,157,Tulsa
Johnathan,3,293,Bridgeport
Joseph,1,242,Hayward
Manuel,1,261,Fort Lauderdale
Luke,4,120,Washington
Evelynn,1,47,Laredo
Daron,4,89,Tallahassee
Henry,1,78,Anaheim
Tyler,2,31,Salt Lake City
Alexander,3,277,Columbus
Jules,2,73,Moreno Valley
Priscilla,1,60,Milano
Chris,3,241,New Orleans
Manuel,4,159,Prague
Catherine,4,74,Laredo
Kate,4,88,Colorado Springs
Tyler,2,165,Quebec
Juliet,3,163,Washington
Ramon,1,232,Richmond
Peter,3,169,Quebec
Carter,1,54,San Jose
Denis,1,21,Anaheim
Crystal,4,124,Arlington
Camden,1,240,Laredo
Maxwell,2,63,Sacramento
Goldie,1,28,Pittsburgh
Makena,1,88,Bakersfield
Ellen,1,46,Chicago
Phillip,3,277,London
Hank,3,153,Los Angeles
Chad,4,117,Moreno Valley
Carrie,4,157,Bellevue
Sofia,1,115,Las Vegas
Ramon,3,96,Las Vegas
Roger,4,96,Bridgeport
Liliana,2,249,Jacksonville
William,3,107,San Jose
Rick,4,161,Columbus
Percy,3,296,Scottsdale
Luna,1,288,San Bernardino
Julius,2,164,Garland
Ryan,2,224,Bellevue
Tony,1,226,Henderson
Lucy,4,295,Moreno Valley
Javier,4,215,Innsbruck
Rufus,4,220,Detroit
Lillian,2,292,Philadelphia
Emerald,1,18,Kansas City
Bridget,1,113,Cincinnati
Aurelia,4,259,Los Angeles
Kurt,1,61,Venice
Sara,3,93,Las Vegas
Adelaide,3,269,Salt Lake City
Phillip,1,266,Houston
Henry,3,236,Henderson
Barney,3,299,Dallas
Julius,1,299,Paris
Maxwell,2,6,Fort Lauderdale
Sharon,3,28,Atlanta
Alma,1,81,Memphis
Gabriel,4,31,Bridgeport
Margot,2,25,Rochester
Tony,3,201,Cincinnati
Angel,3,214,Detroit
Nathan,1,226,Henderson
Dalia,3,86,Paris
Daniel,2,223,Otawa
Matthew,4,104,Saint Paul
Enoch,1,249,Milano
Esmeralda,1,111,Milano
Phillip,2,127,Hollywood
Ramon,1,293,Jacksonville
Martha,1,270,Portland
Rocco,4,294,Atlanta
Abdul,2,36,Pittsburgh
Valerie,1,80,Fremont
Jessica,1,240,Charlotte
Russel,4,228,Fort Lauderdale
Carrie,4,172,Long Beach
Martin,2,1,Houston
Denis,1,262,Albuquerque
Sasha,2,222,Milano
Enoch,4,103,San Diego
Monica,2,293,Henderson
Iris,1,254,Memphis
Clarissa,4,235,Lisbon
Celia,1,152,Fullerton
Javier,2,173,Springfield
Percy,1,81,Jacksonville
Phillip,3,4,Long Beach
Daron,2,264,Chicago
Gladys,1,185,Murfreesboro
Chad,3,216,Fremont
Ryan,2,115,Rochester
Carter,4,165,Pittsburgh
Mike,4,23,Baltimore
Alan,4,134,Fremont
Teagan,2,6,Salem
Carter,3,16,Houston
Diane,2,190,Washington
Leroy,1,247,Oklahoma City
Michael,4,59,Washington
Gabriel,1,246,Chicago
Owen,1,26,Ontario
Zara,2,45,Anaheim
Maxwell,3,238,Pittsburgh
Chadwick,1,226,Berlin
Sabrina,4,282,Laredo
Juliet,1,210,Escondido
Shelby,4,173,Long Beach
Victoria,2,166,Chicago
Michaela,1,60,Columbus
Denis,4,153,Reno
Josh,2,274,Pittsburgh
Marla,1,274,Fayetteville
Tony,3,259,Toledo
Parker,1,139,Long Beach
Lynn,3,81,Tallahassee
Chuck,4,100,New York
Vicky,3,295,Oakland
Summer,4,267,Huntsville
Parker,2,146,Atlanta
Hank,1,33,Madison
Fred,2,53,San Diego
Adalind,1,191,Houston
Josh,4,4,Honolulu
Cassidy,3,47,Indianapolis
Adela,1,160,Dallas
Trisha,1,231,Jacksonville
Hayden,3,258,Charlotte
Christine,2,127,Denver
Vanessa,2,38,Oklahoma City
Russel,2,178,Valetta
Aiden,1,202,Otawa
Claire,4,162,Pittsburgh
Crystal,2,258,Milwaukee
Alexa,4,29,Indianapolis
Bernadette,2,3,Toledo
Eduardo,1,8,Glendale
Maxwell,3,108,Santa Ana
Joseph,4,48,Albuquerque
Marissa,4,222,Rochester
Hayden,2,29,Lakewood
Chris,2,46,Reno
Rebecca,1,176,Richmond
Jacob,4,212,Arlington
Johnathan,1,21,Santa Ana
Peyton,4,263,Orlando
Camden,3,245,Amarillo
Marissa,1,46,Jersey City
Kirsten,2,193,Honolulu
Boris,2,2,Miami
Martha,1,142,Springfield
Hayden,2,92,Bucharest
Angel,2,208,Orlando
Julius,1,194,Madison
Melody,4,138,Long Beach
Denny,2,53,Houston
Clarissa,4,127,Philadelphia
Janelle,1,118,Milano
Janelle,3,46,Honolulu
Hope,3,54,Paris
Kaylee,4,159,Henderson
Julian,3,43,New Orleans
Vera,1,164,Philadelphia
Josh,1,248,Oakland
Adina,4,47,Sacramento
Mason,3,171,Ontario
Adelaide,1,298,Springfield
Leilani,2,90,Dallas
Adela,4,256,Madrid
Abdul,1,87,San Francisco
Marissa,4,143,Milano
Boris,3,261,Baltimore
Maddison,1,21,Bakersfield
Bryon,2,36,Arlington
Rose,3,57,Irving
Julian,4,231,Zurich
Cassidy,2,62,Otawa
Hayden,3,151,Reno
Chris,2,149,Ontario
Tony,4,226,Hollywood
Clint,1,7,Berlin
Julian,3,241,Ontario
Mike,4,155,Jersey City
Joseph,4,111,Bakersfield
Margaret,3,120,Valetta
Rebecca,1,34,Los Angeles
Kirsten,1,235,Madrid
Jamie,2,88,Amarillo
Fiona,4,128,Los Angeles
Phillip,4,75,Milwaukee
Maxwell,2,197,Miami
Enoch,3,185,Amarillo
Clint,3,22,San Antonio
Logan,1,39,Boston
Victoria,3,128,Hayward
Raquel,2,200,Washington
Penny,4,24,Tulsa
Lillian,3,99,Lincoln
Manuel,3,106,San Jose
Fred,4,185,Fremont
Chloe,3,12,Chicago
Jazmin,1,251,Richmond
Russel,4,87,Fremont
Gemma,2,158,Los Angeles
Bart,3,22,Venice
Cristal,2,8,Wien
Eduardo,3,10,Portland
Andrea,4,180,Hayward
Jacob,3,53,Madison
Cedrick,2,217,Kansas City
John,2,266,Amarillo
Marina,3,28,Colorado Springs
Zara,1,234,Omaha
Abdul,4,138,Amarillo
Owen,4,213,Boston
Penny,3,179,Fort Lauderdale
Denny,3,248,San Bernardino
Selena,4,27,London
Carter,4,246,Glendale
Chadwick,4,183,Portland
Doug,4,236,Columbus
Jack,3,204,Fremont
Eryn,1,286,Norfolk
Julius,1,277,Memphis
Louise,4,25,Richmond
Elly,1,262,Amarillo
Chelsea,4,230,Toledo
Chelsea,4,68,Garland
Henry,1,138,Arlington
Manuel,4,252,Albuquerque
Hank,4,107,Glendale
Rachael,4,189,Charlotte
Luke,3,222,Phoenix
Sadie,2,259,Denver
Noah,4,189,Seattle
Rocco,2,245,Moreno Valley
Carolyn,1,197,Zurich
Tyson,3,280,Bucharest
Benny,1,91,San Diego
Jacob,2,234,Worcester
George,1,208,Lyon
Vanessa,2,296,Berlin
Joseph,1,264,Bakersfield
Alan,1,116,Berlin
Irene,2,259,Berna
Cristal,3,23,New York
Jack,3,73,San Antonio
Anthony,2,193,Phoenix
Tyler,3,6,Los Angeles
Bob,2,61,Jacksonville
Jennifer,4,261,St. Louis
Hank,1,73,London
Logan,2,25,Seattle
Gwenyth,4,20,Glendale
Raquel,2,213,Seattle
Dalia,2,40,Atlanta
Chris,2,92,Irving
Chad,3,282,Jacksonville
Skylar,1,80,Houston
Abdul,2,195,New York
Dakota,1,109,Amarillo
Tom,2,151,Toledo
Paula,1,222,Arlington
Sofie,4,123,Bellevue
Chad,4,89,Houston
Erica,1,286,Valetta
Denis,3,71,Cincinnati
Jayden,1,111,Rochester
Cara,1,255,Wien
Logan,2,299,Washington
Mike,1,145,Oklahoma City
Mabel,4,180,Charlotte
Rocco,2,28,Dallas
Chester,4,4,Berlin
Tyler,3,65,Berlin
Sonya,4,71,Rome
Kate,1,189,Scottsdale
Lily,1,218,San Jose
Nathan,2,133,Albuquerque
Clarissa,1,62,Rochester
Tyler,2,27,Paris
Ethan,4,173,Tallahassee
Irene,3,21,Cincinnati
Adelaide,3,153,Hollywood
Tom,1,185,Indianapolis
Logan,1,299,Madison
Percy,4,14,Miami
Bob,1,135,Portland
Noah,3,134,Garland
Julian,2,215,Arlington
Carl,3,67,Ontario
Kate,4,195,Louisville
Colleen,4,33,Lakewood
Percy,3,185,Scottsdale
Carla,1,206,Atlanta
Nicholas,3,95,Lakewood
Ethan,2,218,Cincinnati
Vera,3,288,Nashville
Ivy,2,10,Dallas
Angelique,3,170,Nashville
Savannah,4,41,Detroit
Josh,4,216,El Paso
Tyson,3,234,London
Benny,1,114,Columbus
Scarlett,3,91,Miami
John,1,13,Milwaukee
Eve,1,0,Louisville
Jasmine,2,264,Bridgeport
Maribel,4,24,Milano
Tony,3,196,Dallas
Daniel,1,289,Detroit
Chad,2,207,Bakersfield
Mason,4,207,Cincinnati
Lucas,3,108,Berna
Jessica,2,220,Boston
Fred,3,244,Prague
Angel,3,121,Henderson
Mason,1,48,Murfreesboro
Daniel,3,233,Detroit
Fred,1,106,Orlando
Harry,1,64,Milwaukee
Mason,2,226,Fullerton
Maria,3,284,Milano
David,2,168,Chicago
Nate,2,254,Venice
Selena,2,267,Chicago
Eden,1,104,Indianapolis
Jack,2,112,Milano
Brad,2,61,Washington
Maia,3,87,Reno
Elisabeth,3,262,Bakersfield
Sharon,2,79,Long Beach
Celina,3,80,Colorado Springs
Phillip,2,153,Orlando
Abdul,1,22,New York
Bart,1,156,Long Beach
Elle,1,52,Philadelphia
Chuck,2,74,Chicago
Regina,1,13,Milano
Cristal,1,126,Otawa
Carter,1,249,Milwaukee
Kenzie,3,293,Quebec
Rosalie,4,278,Lakewood
Janelle,2,120,San Bernardino
Ciara,1,9,Bridgeport
Isla,1,174,Oklahoma City
Matt,4,247,London
Rocco,2,42,Lyon
Rosalyn,2,74,Omaha
Natalie,1,50,Chicago
Havana,3,168,Tokyo
Manuel,1,54,San Jose
Barney,4,141,Sacramento
Mark,1,166,Zurich
Carla,1,115,Ontario
Tom,4,138,El Paso
Jacqueline,4,31,Henderson
Jacob,1,233,Cincinnati
Chanelle,1,225,Detroit
Jacqueline,4,177,Irving
Tony,3,246,Escondido
Fiona,1,143,San Bernardino
Estrella,3,90,Amarillo
Jocelyn,4,102,Los Angeles
David,2,248,Phoenix
Melinda,2,161,Valetta
Alison,1,238,San Jose
Iris,1,244,Valetta
Tony,3,276,Lisbon
Estrella,4,244,Albuquerque
Danny,3,256,Denver
Isabella,4,42,Baltimore
Kurt,3,21,Kansas City
Erick,4,270,Lancaster
Kenzie,1,279,Lincoln
Jasmine,2,240,Tokyo
Miriam,3,96,Venice
Rufus,2,196,Lisbon
Javier,4,6,Paris
Tyson,3,214,London
Javier,4,59,Murfreesboro
Johnathan,3,241,Moreno Valley
Bob,4,30,Minneapolis
Ethan,2,38,Memphis
Jack,1,264,Laredo
Alan,4,224,Bellevue
Cristal,3,126,Albuquerque
Phillip,2,240,Dallas
Bree,3,271,Milwaukee
Hadley,4,204,Scottsdale
Estrella,3,138,Innsbruck
Louise,1,8,Bucharest
Mayleen,4,192,Jacksonville
Noah,3,265,Lincoln
Matthew,3,146,Quebec
Hayden,2,253,Memphis
Lillian,2,49,Berna
Elisabeth,1,55,Hayward
Keira,2,242,Omaha
Ronald,4,39,San Antonio
Owen,4,189,Dallas
Chad,1,137,Las Vegas
Anabelle,1,231,Sacramento
Christine,3,58,Glendale
Boris,2,19,Reno
Karla,4,277,Orlando
Helen,1,12,Jersey City
Peter,3,157,Chicago
Vanessa,3,65,Escondido
Ada,3,44,New York
Daron,3,88,Hayward
Parker,4,276,Arlington
Caydence,1,299,Oakland
Rosalyn,1,156,Norfolk
Julian,1,215,Minneapolis
Zoe,1,234,Lyon
Mya,3,6,Nashville
Rihanna,4,65,Norfolk
Rick,4,77,Philadelphia
Tony,3,152,Pittsburgh
Sofie,1,51,Cincinnati
Percy,1,285,Fayetteville
Tony,1,271,Salem
Angelique,1,205,Moreno Valley
Rosie,4,162,Worcester
Doug,4,257,Murfreesboro
Nicholas,3,29,Santa Ana
Rick,2,89,El Paso
Celina,4,46,Los Angeles
Caleb,4,7,Las Vegas
Makenzie,1,227,Escondido
Chester,3,179,Richmond
Hadley,1,128,Berna
Rufus,4,35,Long Beach
Rae,4,239,Berlin
Owen,4,242,Nashville
Percy,4,266,Prague
Mark,4,242,Fort Lauderdale
Tyler,4,42,Springfield
William,3,213,San Antonio
Bob,3,208,Otawa
Katelyn,1,253,Ontario
Bryon,4,86,Stockton
Mark,2,205,Lakewood
Chloe,1,294,Saint Paul
Sofia,3,110,Arlington
Bridget,1,299,Tulsa
Nathan,1,58,San Diego
Gina,1,217,Fort Lauderdale
Daron,3,8,Toledo
Abdul,4,252,Laredo
Denny,3,31,Chicago
Owen,4,172,Berlin
Analise,4,222,Lancaster
Charlotte,1,39,Scottsdale
Rae,2,254,Paris
Marilyn,3,84,Huntsville
Johnny,2,246,Valetta
Martin,1,214,Toledo
Elijah,2,243,Tallahassee
Michael,4,126,Henderson
Johnathan,3,78,Columbus
Karen,4,277,Omaha
Estrella,3,194,Oklahoma City
Carolyn,4,101,Orlando
Ronald,2,11,Huntsville
Sage,3,171,Bucharest
Noemi,1,45,Phoenix
Vivian,1,67,Detroit
Boris,1,46,Santa Ana
Chloe,4,91,Prague
Oliver,2,287,San Antonio
Bryon,3,99,Salem
Jessica,2,277,Rochester
Denis,2,290,Santa Ana
Greta,3,148,Albuquerque
Rosa,1,73,Nashville
Ciara,2,248,Jacksonville
Denis,1,103,Indianapolis
Ramon,3,299,Louisville
Lucas,1,289,Portland
Maxwell,4,154,Detroit
Cedrick,4,222,Boston
Sage,2,4,Madison
Emma,3,46,Springfield
Danielle,1,160,Valetta
Monica,3,23,Innsbruck
Rae,1,125,San Diego
Nick,4,295,Milano
Manuel,2,40,Lyon
Rosie,3,157,Garland
Irene,1,161,Oakland
David,2,31,Huntsville
Hank,4,152,Lisbon
Leslie,4,138,Berlin
Savannah,3,200,San Diego
Tony,4,154,Richmond
Liliana,1,235,Laredo
Aiden,3,213,Louisville
Rylee,3,16,Chicago
Tom,4,33,Rochester
Harry,1,183,Dallas
Lara,2,293,Berna
Javier,4,284,Columbus
Aileen,1,99,Los Angeles
Macy,2,14,Orlando
Nina,2,55,Lakewood
Javier,4,98,Santa Ana
Francesca,3,42,Albuquerque
Henry,3,79,Valetta
Summer,4,136,Toledo
Logan,3,113,San Bernardino
Nicholas,1,44,Denver
Candice,1,31,Henderson
Johnny,2,47,Philadelphia
Luke,4,33,Portland
Julianna,1,190,Laredo
Liliana,1,29,Paris
Clint,2,142,Columbus
Harmony,2,299,Dallas
Alexander,3,42,Omaha
Cedrick,3,178,Bakersfield
Rocco,3,165,Saint Paul
Daron,3,293,Quebec
Daniel,1,276,Lancaster
Hayden,4,165,Berna
Ramon,4,140,Detroit
Melanie,4,19,Kansas City
Kieth,2,299,New York
Chuck,4,263,El Paso
Boris,2,297,Pittsburgh
Tess,3,157,Innsbruck
Noah,1,45,Seattle
Denis,1,211,Laredo
Lana,2,233,Jacksonville
Aiden,1,6,Amarillo
Anthony,1,201,Long Beach
Caleb,4,235,Jacksonville
Sofie,2,247,Bakersfield
Helen,2,187,Columbus
Bethany,1,210,Hollywood
Adela,3,67,Reno
Renee,3,176,Honolulu
Kurt,2,245,Madrid
Paula,2,279,Orlando
Dasha,3,203,Indianapolis
Alan,3,125,Bakersfield
